cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
711,13,seer__eul,217,786,70
712,10,seer__eul,98,1564,60
713,15,seer__eul,204,762,89
714,16,seer__eul,135,982,111
715,11,seer__eul,434,503,46
716,7,seer__eul,153,1130,37
717,10,seer__eul,258,739,48
718,14,seer__eul,203,892,71
719,7,seer__eul,218,633,46
720,11,seer__eul,455,500,44
721,22,seer__eul,121,1044,161
722,16,seer__eul,245,730,82
723,11,seer__eul,69,1167,126
724,13,seer__eul,448,421,64
725,3,seer__eul,137,898,22
726,10,seer__eul,226,816,50
727,10,seer__eul,151,915,67
728,12,seer__eul,178,1093,57
729,9,seer__eul,196,775,54
730,10,seer__eul,1233,266,28
731,6,seer__eul,261,694,30
732,5,seer__eul,211,842,26
733,7,seer__eul,238,664,41
734,8,seer__eul,237,714,43
735,14,seer__eul,0,0,222
736,4,seer__eul,261,694,20
737,5,seer__eul,210,785,28
738,4,seer__eul,142,982,26
739,5,seer__eul,162,808,35
740,15,seer__eul,301,654,70
741,0,seer__eul,194,736,0
742,7,seer__eul,451,356,40
743,10,seer__eul,324,648,44
744,5,seer__eul,133,796,43
745,12,seer__eul,418,317,83
746,6,seer__eul,201,484,57
747,0,seer__eul,153,571,0
748,13,seer__eul,142,853,99
749,4,seer__eul,358,337,30
750,1,seer__eul,177,618,8
751,3,seer__eul,118,824,28
752,3,seer__eul,284,409,24
753,1,seer__eul,316,358,8
754,5,seer__eul,337,366,37
755,7,seer__eul,257,469,53
756,6,seer__eul,190,700,41
757,9,seer__eul,211,637,62
758,11,seer__eul,225,595,76
759,7,seer__eul,265,452,54
760,9,seer__eul,215,570,68
763,0,seer__eul,101,727,0
764,7,seer__eul,207,713,44
765,10,seer__eul,164,629,90
766,5,seer__eul,141,785,42
768,9,seer__eul,123,860,78
769,2,seer__eul,423,397,11
770,3,seer__eul,270,604,17
771,5,seer__eul,248,352,53
772,6,seer__eul,197,529,53
774,6,seer__eul,337,468,35
775,6,seer__eul,313,487,36
776,6,seer__eul,203,481,57
778,5,seer__eul,271,462,37
779,4,seer__eul,152,657,37
780,5,seer__eul,190,482,50
781,7,seer__eul,113,675,85
782,10,seer__eul,209,471,94
783,5,seer__eul,161,512,56
784,8,seer__eul,124,518,115
785,3,seer__eul,528,273,19
786,4,seer__eul,148,513,48
787,6,seer__eul,156,493,72
788,9,seer__eul,179,414,112
789,3,seer__eul,762,184,19
790,6,seer__eul,318,330,53
791,5,seer__eul,294,372,42
792,3,seer__eul,216,494,26
793,3,seer__eul,208,433,30
797,0,soominnnnn,195,343,0
798,0,soominnnnn,242,313,0
799,0,soominnnnn,231,303,0
801,10,soominnnnn,235,540,56
802,2,soominnnnn,247,459,12
803,4,soominnnnn,295,215,44
804,3,soominnnnn,288,284,26
805,11,soominnnnn,171,367,125
806,8,soominnnnn,156,374,97
807,11,soominnnnn,229,265,129
809,6,soominnnnn,116,393,93
810,1,soominnnnn,180,298,13
811,6,soominnnnn,165,472,55
812,7,soominnnnn,182,344,79
813,4,soominnnnn,514,350,15
814,8,soominnnnn,256,268,83
815,6,soominnnnn,125,428,80
816,7,soominnnnn,124,380,106
817,11,soominnnnn,305,285,90
818,4,soominnnnn,107,386,68
819,7,soominnnnn,167,355,84
820,8,soominnnnn,261,306,71
821,5,soominnnnn,188,353,53
822,6,soominnnnn,179,323,74
823,6,soominnnnn,111,340,113
834,4,soominnnnn,267,514,20
835,2,soominnnnn,235,1078,5
836,2,soominnnnn,196,652,11
840,6,soominnnnn,326,966,13
868,2,soominnnnn,78,553,32
888,11,soominnnnn,94,560,148
895,13,jun_seonng,638,83,203
940,13,jun_seonng,0,0,382
941,11,jun_seonng,86,385,275
943,10,jun_seonng,0,0,285
944,5,jun_seonng,112,291,128
946,17,jun_seonng,0,0,404
947,7,jun_seonng,0,0,155
948,12,jun_seonng,0,0,413
949,10,jun_seonng,92,428,212
950,6,jun_seonng,0,0,166
951,14,jun_seonng,98,391,304
953,12,jun_seonng,82,526,230
955,11,jun_seonng,0,0,250
957,4,jun_seonng,0,0,97
958,11,jun_seonng,0,0,282
959,16,jun_seonng,101,272,484
1001,19,jun_seonng,197,534,150
1002,7,jun_seonng,260,475,47
1003,11,zzjun.k,385,801,229
1004,21,zzjun.k,622,579,375
1005,21,zzjun.k,499,708,381
1006,20,zzjun.k,501,385,666
1007,16,zzjun.k,518,546,363
1008,18,zzjun.k,447,806,321
1009,15,zzjun.k,536,600,300
1010,9,zzjun.k,442,655,200
1011,20,zzjun.k,496,479,540
1012,17,zzjun.k,383,403,708
1013,27,zzjun.k,529,413,794
1014,14,zzjun.k,572,157,1000
1015,16,zzjun.k,613,210,800
1016,13,zzjun.k,575,279,520
1017,16,zzjun.k,405,380,666
1018,21,zzjun.k,472,395,724
1019,12,zzjun.k,689,327,342
1020,22,zzjun.k,476,311,956
1021,29,zzjun.k,457,323,1260
1022,12,zzjun.k,446,259,666
1023,7,zzjun.k,442,87,1166
1024,22,zzjun.k,547,235,1100
1025,22,zzjun.k,501,231,1222
1026,21,zzjun.k,502,217,1235
1027,24,zzjun.k,450,286,1200
1028,25,zzjun.k,464,429,806
1029,22,zzjun.k,476,527,564
1030,17,zzjun.k,644,319,531
1031,17,zzjun.k,523,295,708
1032,24,zzjun.k,417,601,615
1033,16,zzjun.k,591,337,516
1034,18,zzjun.k,635,304,600
1035,19,zzjun.k,646,199,950
1036,20,zzjun.k,537,311,769
1037,20,zzjun.k,488,211,1250
1038,9,zzjun.k,599,161,600
1039,23,zzjun.k,619,311,766
1040,15,zzjun.k,505,280,681
1041,19,zzjun.k,489,355,703
1042,20,zzjun.k,535,288,833
1043,22,zzjun.k,633,325,687
1044,17,zzjun.k,596,259,708
1045,14,zzjun.k,548,258,636
1046,22,zzjun.k,566,409,611
1047,14,zzjun.k,584,452,341
1048,14,zzjun.k,518,211,823
1049,8,zzjun.k,593,336,258
1050,22,zzjun.k,406,269,1294
1051,19,zzjun.k,627,503,387
1052,16,zzjun.k,562,320,571
1053,21,zzjun.k,506,406,656
1054,23,zzjun.k,658,488,460
1055,18,zzjun.k,503,447,514
1056,3,zzjun.k,496,428,90
1057,20,zzjun.k,522,493,500
1058,13,zzjun.k,0,0,619
1059,3,zzjun.k,367,403,130
1060,14,zzjun.k,593,401,378
1061,5,zzjun.k,590,316,172
1062,19,zzjun.k,503,358,678
1063,29,zzjun.k,469,631,630
1064,21,zzjun.k,580,610,381
1065,2,zzjun.k,0,0,500
1066,13,zzjun.k,564,513,288
1067,20,zzjun.k,780,569,289
1068,5,zzjun.k,0,0,1000
1069,16,zzjun.k,548,540,347
1070,19,zzjun.k,407,537,558
1071,16,zzjun.k,515,500,400
1072,8,zzjun.k,683,471,160
1073,20,zzjun.k,561,504,454
1074,27,zzjun.k,635,659,415
1075,22,zzjun.k,512,452,611
1076,25,zzjun.k,559,668,431
1077,19,zzjun.k,459,308,863
1078,4,zzjun.k,669,336,114
1079,24,zzjun.k,514,500,600
1080,22,zzjun.k,765,479,385
1081,17,zzjun.k,513,451,472
1082,21,zzjun.k,544,697,355
1083,20,zzjun.k,670,441,434
1084,19,zzjun.k,617,563,351
1085,21,zzjun.k,473,585,488
1086,16,zzjun.k,501,655,313
1087,23,zzjun.k,492,680,442
1088,13,zzjun.k,534,627,250
1089,14,zzjun.k,725,639,194
1090,4,zzjun.k,735,323,108
1091,23,zzjun.k,487,554,547
1092,20,zzjun.k,706,610,298
1093,17,zzjun.k,426,589,435
1094,21,zzjun.k,512,603,437
1095,17,zzjun.k,566,432,447
1096,21,zzjun.k,463,486,600
1097,21,zzjun.k,493,718,381
1098,15,zzjun.k,499,579,333
1099,23,zzjun.k,608,434,560
1100,21,zzjun.k,596,410,552
1101,16,zzjun.k,553,454,410
1102,9,zzjun.k,539,358,300
1103,20,zzjun.k,588,536,408
1104,16,zzjun.k,639,342,470
1105,19,zzjun.k,628,441,441
1106,5,zzjun.k,613,346,151
1107,6,zzjun.k,655,216,272
1108,15,zzjun.k,543,343,517
1109,1,zzjun.k,314,81,250
1110,19,zzjun.k,553,441,500
1111,18,zzjun.k,609,317,600
1112,22,zzjun.k,772,442,415
1113,10,zzjun.k,589,448,243
1114,13,zzjun.k,638,484,270
1115,19,zzjun.k,698,387,452
1116,11,zzjun.k,553,244,523
1117,11,zzjun.k,745,371,255
1118,18,zzjun.k,713,279,580
1119,6,zzjun.k,606,201,315
1120,8,zzjun.k,539,430,222
1121,15,zzjun.k,599,408,394
1122,11,zzjun.k,548,269,478
1123,12,zzjun.k,605,265,480
1124,5,zzjun.k,543,296,200
1125,7,zzjun.k,695,296,218
1126,13,zzjun.k,573,224,650
1127,15,zzjun.k,810,325,365
1128,7,zzjun.k,561,355,225
1129,10,zzjun.k,590,239,454
1130,15,zzjun.k,687,290,483
1131,2,zzjun.k,558,196,117
1132,6,zzjun.k,550,163,428
1133,2,zzjun.k,576,234,95
1134,15,zzjun.k,537,419,428
1135,2,zzjun.k,527,341,71
1136,6,zzjun.k,582,254,260
1137,8,zzjun.k,594,260,333
1138,8,zzjun.k,635,192,421
1139,7,zzjun.k,644,259,269
1140,6,zzjun.k,642,180,333
1141,3,zzjun.k,664,135,214
1142,6,zzjun.k,834,216,214
1143,6,zzjun.k,657,244,240
1144,8,zzjun.k,681,179,421
1145,3,zzjun.k,0,0,250
1146,1,zzjun.k,724,106,83
1147,3,zzjun.k,580,110,300
1148,5,zzjun.k,562,171,333
1149,14,zzjun.k,664,203,666
1150,7,zzjun.k,597,118,636
1151,8,zzjun.k,662,175,444
1152,8,zzjun.k,642,220,363
1153,0,zzjun.k,513,37,0
1154,7,zzjun.k,648,168,411
1155,2,zzjun.k,616,135,153
1156,9,zzjun.k,715,270,300
1157,3,zzjun.k,698,175,157
1158,8,zzjun.k,617,240,347
1159,6,zzjun.k,729,159,333
1160,6,zzjun.k,658,156,375
1161,0,zzjun.k,701,55,0
1162,2,zzjun.k,545,106,222
1163,5,zzjun.k,774,158,263
1164,8,zzjun.k,661,204,380
1165,0,zzjun.k,662,126,0
1166,1,zzjun.k,704,155,58
1167,0,zzjun.k,578,89,0
1168,4,zzjun.k,700,110,333
1169,3,zzjun.k,648,49,600
1170,7,zzjun.k,888,246,205
1171,5,zzjun.k,604,170,312
1172,0,zzjun.k,610,21,0
1173,0,zzjun.k,569,180,0
1174,2,zzjun.k,0,0,222
1175,1,zzjun.k,0,0,250
1176,3,zzjun.k,0,0,176
1177,5,zzjun.k,560,126,454
1178,1,zzjun.k,0,0,166
1179,3,zzjun.k,553,186,187
1180,3,zzjun.k,497,77,500
1181,8,zzjun.k,544,319,296
1182,3,zzjun.k,598,182,176
1183,16,zzjun.k,648,357,444
1184,4,zzjun.k,675,257,148
1185,6,zzjun.k,756,281,181
1186,4,zzjun.k,667,241,160
1187,8,zzjun.k,698,304,242
1188,5,zzjun.k,701,183,250
1189,13,zzjun.k,907,212,433
1190,10,zzjun.k,1114,202,285
1191,2,zzjun.k,1031,93,133
1192,2,zzjun.k,666,116,166
1193,5,zzjun.k,2127,63,238
1194,3,zzjun.k,2500,30,250
1195,3,zzjun.k,3135,51,120
1196,6,zzjun.k,4648,22,375
1197,1,zzjun.k,5868,12,90
1198,7,zzjun.k,3022,55,269
1199,8,zzjun.k,7145,15,470
1200,11,zzjun.k,5712,29,423
1201,2,zzjun.k,1524,29,285
1202,2,zzjun.k,982,39,333
1203,3,zzjun.k,2550,42,176
1204,2,zzjun.k,6515,11,166
1205,2,zzjun.k,1263,86,117
1206,4,zzjun.k,1311,73,266
1207,2,zzjun.k,1265,35,285
1208,1,zzjun.k,1115,69,83
1209,4,zzjun.k,1044,80,307
1210,2,zzjun.k,1145,61,181
1211,7,zzjun.k,1120,178,225
1212,3,zzjun.k,1457,75,176
1213,6,zzjun.k,1438,76,352
1214,0,zzjun.k,1079,71,0
1215,6,zzjun.k,896,136,315
1216,4,zzjun.k,1024,119,210
1217,1,zzjun.k,795,89,90
1218,7,zzjun.k,934,124,388
1219,4,zzjun.k,832,85,363
1226,10,h.yun_b,64,1145,135
1228,6,h.yun_b,0,0,96
1229,16,h.yun_b,0,0,197
1231,18,h.yun_b,56,1069,300
1233,15,h.yun_b,0,0,150
1236,16,h.yun_b,0,0,213
1237,18,h.yun_b,110,1191,136
1241,13,h.yun_b,85,704,216
1242,10,h.yun_b,199,610,81
1243,8,h.yun_b,131,849,71
1246,17,h.yun_b,102,927,178
1247,19,h.yun_b,115,950,172
1248,13,h.yun_b,184,677,104
1253,9,h.yun_b,94,1240,76
1254,9,h.yun_b,148,1052,57
1255,22,h.yun_b,115,1293,147
1256,10,h.yun_b,121,1001,81
1259,11,h.yun_b,133,924,88
1262,11,h.yun_b,110,643,154
1265,21,h.yun_b,102,963,212
1268,10,h.yun_b,89,1044,106
1269,6,h.yun_b,99,830,72
1270,8,h.yun_b,107,972,76
1272,8,h.yun_b,109,851,86
1273,9,h.yun_b,156,863,66
1274,15,h.yun_b,128,1124,103
1276,6,h.yun_b,118,1253,40
1277,6,h.yun_b,134,1011,44
1278,12,h.yun_b,132,827,109
1279,11,h.yun_b,118,1125,82
1280,12,h.yun_b,115,1260,82
1282,6,h.yun_b,150,1009,39
1283,11,h.yun_b,130,920,91
1286,9,h.yun_b,112,1230,64
1288,9,h.yun_b,186,684,70
1289,5,h.yun_b,184,893,30
1290,10,h.yun_b,237,701,59
1291,7,h.yun_b,160,830,52
1292,3,h.yun_b,151,700,28
1294,9,h.yun_b,239,700,53
1295,6,h.yun_b,192,854,36
1296,7,h.yun_b,184,778,48
1297,8,h.yun_b,166,813,58
1298,11,h.yun_b,219,714,70
1300,17,h.yun_b,189,607,147
1301,9,h.yun_b,210,369,115
1302,3,h.yun_b,162,732,25
1303,7,h.yun_b,205,675,50
1304,14,h.yun_b,139,664,150
1306,11,h.yun_b,138,836,94
1307,8,h.yun_b,607,261,50
1309,7,h.yun_b,223,562,55
1311,9,h.yun_b,210,521,81
1312,7,h.yun_b,309,320,70
1313,9,h.yun_b,383,359,65
1314,7,h.yun_b,390,319,56
1315,5,h.yun_b,541,217,42
1316,9,h.yun_b,516,297,58
1317,7,h.yun_b,446,330,47
1319,1,h.yun_b,378,295,8
1320,7,h.yun_b,307,477,47
1322,10,h.yun_b,416,288,83
1323,3,h.yun_b,694,211,20
1327,6,h.yun_b,305,353,55
1328,7,h.yun_b,227,359,85
1329,8,h.yun_b,385,308,67
1330,5,h.yun_b,561,238,37
1331,1,h.yun_b,317,258,12
1332,5,h.yun_b,344,206,70
1333,5,h.yun_b,196,310,81
1336,9,jiseong,332,374,95
1337,6,jiseong,1290,123,50
1339,10,jiseong,243,424,128
1340,17,jiseong,218,455,226
1342,11,jiseong,233,345,180
1343,8,jiseong,331,323,98
1348,14,jiseong,260,452,157
1349,9,jiseong,258,322,142
1350,11,jiseong,292,381,130
1352,13,jiseong,222,417,185
1354,14,jiseong,542,241,141
1355,8,jiseong,257,344,119
1356,15,jiseong,342,391,148
1358,5,jiseong,282,422,55
1359,3,jiseong,231,418,41
1360,11,jiseong,310,375,125
1362,10,jiseong,330,392,102
1363,5,jiseong,287,405,56
1365,11,jiseong,335,331,130
1369,31,jiseong,303,361,373
1373,4,jiseong,541,244,40
1376,4,jiseong,975,164,33
1377,5,jiseong,574,253,45
1378,4,jiseong,362,284,51
1382,4,jiseong,799,162,40
1384,7,jiseong,381,232,104
1385,7,jiseong,371,224,111
1387,8,jiseong,311,234,145
1388,5,jiseong,800,101,81
1389,5,jiseong,200,184,178
1390,10,jiseong,125,327,322
1391,3,jiseong,159,199,125
1396,10,soominnnnn,230,248,125
1398,2,soominnnnn,221,283,22
1404,10,soominnnnn,240,259,114
1405,15,soominnnnn,213,345,145
1410,9,soominnnnn,138,412,112
1414,3,soominnnnn,217,392,25
1418,9,soominnnnn,287,417,53
1422,9,soominnnnn,214,402,74
1424,7,soominnnnn,172,426,67
1426,5,soominnnnn,370,381,25
1427,8,soominnnnn,236,483,50
1428,6,soominnnnn,193,518,42
1429,9,soominnnnn,346,529,35
1436,4,soominnnnn,457,767,8
1437,7,soominnnnn,263,1043,18
1438,3,soominnnnn,393,812,6
1441,5,soominnnnn,305,829,14
1442,4,soominnnnn,547,635,8
1443,7,soominnnnn,214,1045,22
1444,3,soominnnnn,299,830,8
1446,7,soominnnnn,209,999,23
1458,7,soominnnnn,167,1074,27
1462,6,soominnnnn,160,925,28
1463,6,soominnnnn,217,683,28
1465,6,soominnnnn,137,944,33
1467,6,soominnnnn,118,1000,36
1468,8,soominnnnn,173,1068,30
1469,6,soominnnnn,136,1036,30
1471,10,soominnnnn,134,1237,43
1473,7,soominnnnn,131,1075,35
1475,5,soominnnnn,169,716,29
1477,12,soominnnnn,109,944,82
1479,4,soominnnnn,224,878,14
1480,8,soominnnnn,169,1500,22
1481,8,soominnnnn,131,1526,28
1482,7,soominnnnn,178,1067,26
1483,6,soominnnnn,196,945,23
1485,6,soominnnnn,150,1033,27
1489,5,soominnnnn,177,1053,19
1492,9,soominnnnn,181,997,35
1493,10,soominnnnn,270,725,36
1494,9,soominnnnn,161,1349,29
1495,6,soominnnnn,112,1455,26
1496,5,soominnnnn,204,1296,13
1500,6,soominnnnn,203,1142,18
1501,4,soominnnnn,120,1284,18
1503,7,soominnnnn,124,1428,28
1504,5,soominnnnn,104,1360,25
1506,4,soominnnnn,271,969,10
1507,5,soominnnnn,258,709,19
1509,7,soominnnnn,217,856,26
1511,4,soominnnnn,268,744,14
1512,3,soominnnnn,163,845,15
1513,12,seer__eul,144,1015,75
